StudyID,Age
1,4
2,4
3,5
4,5
5,5
6,5
7,5
8,4
9,4
10,4
11,4
12,4
13,4
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
24,8
25,8
26,5
27,7
28,4
29,5
30,4
31,5
32,4
33,5
34,5
35,5
36,7
37,7
38,7
39,7
40,7
41,7
42,7
43,7
44,7
45,7
46,7
47,7
48,5
50,4
51,4
